district,total_ntd,land_area,main_building_material,building_area,num_room,num_hall,num_toilet,transaction_year,transaction_month,building_age
Xinyi District,79800000,527,Reinforced concrete construction,476.97,10,3,4,2019,9,1944
Wenshan District,15600000,46.77,Reinforced concrete construction,128.58,10,0,10,2019,10,1947
Neihu District,19000000,37.84,Reinforced concrete construction,148.65,9,0,9,2019,11,1949
Zhongshan Area,11500000,22.4,Reinforced concrete construction,75.96,7,0,7,2019,9,1951
Zhongshan Area,13980000,24,Reinforced concrete construction,73.75,7,2,3,2019,11,1951
Daan District,6000000,6.15,Reinforced concrete construction,29.71,7,0,7,2019,12,1936.9
Beitou,13380000,41.67,Reinforced concrete construction,136.96,6,3,3,2019,9,1941
Wenshan District,6440000,20.88,Strengthen brickwork,46.5,6,0,6,2019,11,1956.9375
shihlin,37500000,36,Reinforced concrete construction,213.89,6,3,3,2019,10,1951
Neihu District,16200000,28.89,Reinforced concrete construction,109.36,6,0,6,2019,8,1946
Daan District,20000000,35.25,Reinforced concrete construction,97.94,6,3,2,2019,8,1959
Neihu District,10100000,23.14,Reinforced concrete construction,82.78,6,3,2,2019,11,1946
Zhongshan Area,25050000,37.87,Reinforced concrete construction,161.98,6,0,6,2019,10,1953
Wenshan District,46580000,459,Strengthen brickwork,338.04,6,3,4,2019,11,1948
Songshan District,32800000,42.73,Reinforced concrete construction,156.74,6,1,1,2019,10,1952
Beitou,11800000,33.8,Reinforced concrete construction,102.96,6,3,3,2019,11,1953
Songshan District,20600000,44.75,Reinforced concrete construction,125.1,6,2,3,2019,12,1955.176471
Songshan District,23950000,39.5,Reinforced concrete construction,116.44,6,3,3,2019,12,1958
Wenshan District,14920000,27.4,Reinforced concrete construction,99.89,6,1,6,2019,12,1945.885714
Songshan District,22000000,35.5,Reinforced concrete construction,97.14,6,3,3,2019,12,1956
Wenshan District,30000000,135,Strengthen brickwork,207.3,6,2,4,2019,12,1949
shihlin,18660000,38.25,Reinforced concrete construction,99.96,6,0,6,2019,12,1956
Daan District,33360000,48,Reinforced concrete construction,136.98,5,2,2,2019,10,1962
Daan District,32800000,29,Reinforced concrete construction,147.79,5,2,2,2019,10,1947
Zhongzheng District,40000000,38.5,Reinforced concrete construction,152.79,5,2,2,2019,8,1954
Wanhua District,12000000,41.75,Reinforced concrete construction,120,5,1,2,2019,10,1958
Neihu District,12800000,27.58,Reinforced concrete construction,97.15,5,3,2,2019,10,1950
Zhongzheng District,25660000,53.75,Reinforced concrete construction,126.82,5,2,2,2019,10,1959
Daan District,16800000,26.1,Reinforced concrete construction,97.68,5,1,2,2019,10,1945
Zhongshan Area,24250000,57,Reinforced concrete construction,168.26,5,2,3,2019,10,1958
Xinyi District,18200000,36.93,Reinforced concrete construction,146.96,5,3,3,2019,11,1945
Zhongshan Area,22300000,26.81,Reinforced concrete construction,137.79,5,0,5,2019,10,1953
shihlin,10900000,97.19,Reinforced concrete construction,102.92,5,3,2,2019,11,1954
Nangang District,14500000,31.52,Reinforced concrete construction,85.06,5,3,3,2019,11,1943.285714
Xinyi District,35000000,29.6,Reinforced concrete construction,183.98,5,3,4,2019,11,1944
Zhongzheng District,35180000,35.45,Reinforced concrete construction,131.44,5,3,3,2019,11,1942
Nangang District,11880000,32,Reinforced concrete construction,100.27,5,2,2,2019,11,1955.6
Zhongshan Area,33000000,56.75,Reinforced concrete construction,173.65,5,2,2,2019,12,1959
Wenshan District,11500000,21.98,Reinforced concrete construction,81.32,5,1,2,2019,10,1950
Zhongzheng District,30200000,16.93,Reinforced concrete construction,104.94,5,3,3,2019,11,1927.625
Wanhua District,6300000,37.48,Reinforced concrete construction,32.26,5,3,2,2019,10,1951
Zhongshan Area,17630000,44.5,Reinforced concrete construction,100.42,5,0,5,2019,11,1958
Wenshan District,14680000,58.83,Reinforced concrete construction,130.08,5,3,2,2019,9,1942
shihlin,45000000,96.18,Reinforced concrete construction,317.15,5,3,4,2019,12,1942
Neihu District,21580000,49.31,Reinforced concrete construction,160.74,5,2,3,2019,11,1942
Daan District,38000000,28.62,Reinforced concrete construction,142.71,5,2,3,2019,11,1939.631579
shihlin,24580000,45.17,Reinforced concrete construction,156.64,5,0,5,2019,11,1945
Wenshan District,11800000,31.36,Reinforced concrete construction,83.7,5,5,5,2019,11,1956.9375
Daan District,21700000,37.15,Reinforced concrete construction,208.57,5,2,2,2019,11,1960
shihlin,13500000,35.45,Reinforced concrete construction,120.6,5,2,2,2019,11,1948
Zhongshan Area,19500000,39,Reinforced concrete construction,110.66,5,2,3,2019,10,1955
Zhongzheng District,23400000,9.87,Reinforced concrete construction,124.36,5,2,2,2019,11,1943
Beitou,15300000,37.75,Reinforced concrete construction,109.2,5,0,2,2019,12,1957
Xinyi District,17700000,33,Reinforced concrete construction,91.8,5,3,3,2019,12,1952
Nangang District,8880000,21.25,Strengthen brickwork,77,5,3,2,2019,10,1955.6
Songshan District,20000000,51.5,Reinforced concrete construction,102.05,5,3,2,2019,10,1960
Neihu District,7800000,34.4,Reinforced concrete construction,104.69,5,1,3,2019,11,1950
Neihu District,53800000,228.06,Reinforced concrete construction,364.93,5,2,4,2019,11,1944
Songshan District,24100000,42.62,Reinforced concrete construction,103.75,5,2,1,2019,12,1955.176471
Daan District,50880000,39.53,Reinforced concrete construction,261.55,5,2,3,2019,12,1951
Zhongshan Area,18250000,27,Strengthen brickwork,87.45,5,0,5,2019,11,1957.916667
Zhongshan Area,18250000,27,Strengthen brickwork,94.35,5,0,5,2019,11,1957.916667
Songshan District,3724800,16.8,Reinforced concrete construction,56.17,5,0,5,2019,12,1952
Xinyi District,23500000,42.27,Reinforced concrete construction,162.73,5,1,2,2019,11,1943
Nangang District,10060000,21.67,Reinforced concrete construction,72.15,5,0,5,2019,12,1955.6
Wenshan District,13450000,29.04,Reinforced concrete construction,116.5,5,3,3,2019,11,1945.885714
shihlin,11000000,94.12,Reinforced concrete construction,102.92,4,2,2,2019,10,1954
Nangang District,20500000,26.78,Reinforced concrete construction,130.53,4,2,2,2019,9,1923.866667
Beitou,9500000,41,Reinforced concrete construction,108.83,4,2,1,2019,9,1953
shihlin,13500000,25.19,Reinforced concrete construction,101.9,4,2,2,2019,9,1947
Songshan District,29000000,31.67,Reinforced concrete construction,141.97,4,2,2,2019,10,1943
Zhongzheng District,6500000,19.6,Reinforced concrete construction,63.97,4,0,4,2019,9,1949
Wenshan District,15800000,37.67,Reinforced concrete construction,129.16,4,2,2,2019,9,1938
Wanhua District,22400000,48.62,Reinforced concrete construction,216.46,4,3,1,2019,9,1946
Daan District,27300000,36.92,Reinforced concrete construction,138.13,4,2,2,2019,10,1943
Xinyi District,13000000,19.83,Reinforced concrete construction,70.06,4,0,4,2019,10,1956.675
Songshan District,24500000,58.75,Reinforced concrete construction,162.38,4,2,1,2019,10,1958.666667
Xinyi District,11000000,13.77,Steel reinforced concrete construction,65.75,4,2,2,2019,9,1933
Zhongshan Area,27330000,28.34,Reinforced concrete construction,150.56,4,2,2,2019,10,1947
Beitou,17500000,53.87,Reinforced concrete construction,134.39,4,2,2,2019,10,1953
Wenshan District,14380000,29.48,Reinforced concrete construction,105.69,4,0,3,2019,8,1950
Datong District,7000000,15.2,Reinforced concrete construction,50.16,4,2,2,2019,10,1954
Beitou,1408050,37.5,Strengthen brickwork,46.94,4,1,2,2019,10,1962
Daan District,38000000,37.56,Reinforced concrete construction,199.33,4,2,3,2019,10,1936.9
Daan District,43000000,14.95,Reinforced concrete construction,150.22,4,2,2,2019,8,1945
shihlin,13080000,36.25,Reinforced concrete construction,106.7,4,2,1,2019,10,1954.02
Songshan District,34680000,34.27,Reinforced concrete construction,132.99,4,2,2,2019,10,1940
shihlin,13360000,97.69,Reinforced concrete construction,103.75,4,2,2,2019,10,1955
Zhongshan Area,14300000,18.67,Reinforced concrete construction,99.18,4,2,2,2019,10,1952
Neihu District,14800000,35.63,Reinforced concrete construction,116.47,4,1,3,2019,10,1949
Wenshan District,12800000,44.88,Reinforced concrete construction,96.49,4,2,2,2019,10,1958
Songshan District,40360000,37.65,Reinforced concrete construction,180.56,4,2,3,2019,10,1954
Songshan District,17800000,28.2,Reinforced concrete construction,95.59,4,3,2,2019,9,1949.318182
Daan District,30000000,42.75,Reinforced concrete construction,101.13,4,2,2,2019,10,1960.071429
Daan District,30690000,25.42,Reinforced concrete construction,146.25,4,2,2,2019,8,1936.9
Songshan District,23500000,26.38,Reinforced concrete construction,130.82,4,2,2,2019,6,1950
